"vItemNumber","vLocation","vDescription","vShortDesc","vLook","vGenColor","vGenItemType","vMetalColor","vSizeType","vKeywords","vSorting","vAggregation","vMaterialDesc","vFeatureDesc","vDetailDesc","itemprice_1","itemprice_2"
"L191511116","800","Find the Birthstone Bar Necklace that represents your birth month and embrace all the things you love about yourself! The silver toned plating, colorful crystals, and uplifting descriptions are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: July birth month, reads charming, optimistic, and unique, features ruby colored crystals.</i>","Ruby Birthstone Bar Necklace","Sleek","Red","Necklaces","Silver","","Necklace, birthstone, birthday, bar, ruby, july",120,,"Silver toned plating over brass with glass birthstone crystal and black enamel fill","Charming, optimistic, unique | Lobster claw closure | Style # L19151","16.5""length | 3""extender| Designed in the USA",7,14.99
"L191511420","800","Find the Birthstone Bar Necklace that represents your birth month and embrace all the things you love about yourself! The silver toned plating, colorful crystals, and uplifting descriptions are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: August birth month, reads independent, caring, and powerful, features peridot colored crystals.</i>","Peridot Birthstone Bar Necklace","Sleek","Green","Necklaces","Silver","","Necklace, birthstone, birthday, bar, peridot, august",120,,"Silver toned plating over brass with glass birthstone crystal and black enamel fill","Independent, caring, powerful | Lobster claw closure | Style # L19151","16.5""length | 3""extender| Designed in the USA",7,14.99
"L191511322","800","Find the Birthstone Bar Necklace that represents your birth month and embrace all the things you love about yourself! The silver toned plating, colorful crystals, and uplifting descriptions are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: September birth month, reads gracious, reliable, and responsible, features sapphire colored crystals.</i>","Sapphire Birthstone Bar Necklace","Sleek","Blue","Necklaces","Silver","","Necklace, birthstone, birthday, bar, september, sapphire",120,,"Silver toned plating over brass with glass birthstone crystal and black enamel fill","Gracious, reliable, responsible | Lobster claw closure | Style # L19151","16.5""length | 3""extender| Designed in the USA",7,14.99
"L191511417","800","Find the Birthstone Bar Necklace that represents your birth month and embrace all the things you love about yourself! The silver toned plating, colorful crystals, and uplifting descriptions are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: October birth month, reads charismatic, carefree, and romantic, features rose colored crystals.</i>","Pink Birthstone Bar Necklace","Sleek","Pink","Necklaces","Silver","","Necklace, birthstone, birthday, bar, october, pink, tourmaline",120,,"Silver toned plating over brass with glass birthstone crystal and black enamel fill","Charismatic, carefree, romantic | Lobster claw closure | Style # L19151","16.5""length | 3""extender| Designed in the USA",7,14.99
"L191510125","800","Find the Birthstone Bar Necklace that represents your birth month and embrace all the things you love about yourself! The silver toned plating, colorful crystals, and uplifting descriptions are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: November birth month, reads loyal, determined, and courageous, features topaz colored crystals.</i>","Light Topaz Birthstone Bar Necklace","Sleek","Orange","Necklaces","Silver","","Necklace, birthstone, birthday, bar, topaz, orange, november",120,,"Silver toned plating over brass with glass birthstone crystal and black enamel fill","Loyal, determined, courageous | Lobster claw closure | Style # L19151","16.5""length | 3""extender| Designed in the USA",7,14.99
"L191511321","800","Find the Birthstone Bar Necklace that represents your birth month and embrace all the things you love about yourself! The silver toned plating, colorful crystals, and uplifting descriptions are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: December birth month, reads confident, intuitive, and optimistic, features blue zircon colored crystals.</i>","Teal Birthstone Bar Necklace","Sleek","Blue","Necklaces","Silver","","Necklace, birthstone, birthday, bar, december, blue, zircon",120,,"Silver toned plating over brass with glass birthstone crystal and black enamel fill","Confident, intuitive, optimistic | Lobster claw closure | Style # L19151","16.5""length | 3""extender| Designed in the USA",7,14.99
"L19188","800","Lightweight silver toned bangle with 3 sparkling rhinestones placed amongst the band. This bangle will stack up to create your perfect story! Choose a paw print charm or wear all five puppy charms for an adorable look! The charms included with this trendy bangle are: two dogs, a dog house, a paw print, and puppy love. These charms are hot and trendy right now, so add these to your arm party while you can!","Puppy Charm Bracelet","Novelty","Silver","Bracelets","Silver","","Charm, Bracelet, Adjustable, Puppy, Dog",150,"","Silver Tone Plating With Glass And Enamel Accents","Adjustable | Style # L19188","7.5&amp;quot; Length | Designed In The USA",6,14.99
"L19189","800","Lightweight gold toned bangle with 3 sparkling rhinestones placed amongst the band. This bangle will stack up to create your perfect story! Choose a star charm or wear all five celestial charms for an adorable look! The charms included with this trendy bangle are: a star/moon, a star, a sun, a constellation, and a crescent moon. These charms are hot and trendy right now, so add these to your arm party while you can!","Celestial Charm Bracelet","Novelty","Gold","Bracelets","Gold","","Charm, Bracelet, Adjustable, Celestial, Moon, Star",150,"","Gold Tone Plating With Glass And Enamel Accents","Adjustable | Style # L19189","7.5&amp;quot; Length | Designed In The USA",6,14.99
"L19190","800","Lightweight silver toned 18″ (extends to 21”) necklace with gorgeous charms to choose from! This necklace will stack up to create your perfect story! Choose a shell charm or wear all six sea life charms for an adorable look! The charms included with this trendy necklace are: a starfish, a sea horse, pink bubbles, two shells, and a dolphin. These charms are hot and trendy right now, so add these to your arm party while you can!","Sea Life Charm Necklace","Novelty","Gold","Necklaces","Gold","","Charm, Necklace, Sea,life, Ocean",150,"","Gold Tone Plating With Glass And Enamel Accents","Lobster Claw Closure | Style # L19190","18&amp;quot; Length | 3&amp;quot; Extender Chain | Designed In The USA",6,14.99
"L19191","800","Lightweight gold toned 18″ (extends to 21”) necklace with gorgeous charms to choose from! This necklace will stack up to create your perfect story! Choose an anchor charm or wear all six nautical charms for an adorable look! The charms included with this trendy necklace are: an anchor, a lighthouse, a crab, a buoy, a life preserver, and a sailboat. These charms are hot and trendy right now, so add these to your arm party while you can!","Nautical Charm Necklace","Novelty","Silver","Necklaces","Silver","","Charm, Necklace, Nautical",150,"","Silver Tone Plating With Glass And Enamel Accents","Lobster Claw Closure | Style # L19191","18&amp;quot; Length | 3&amp;quot; Extender Chain | Designed In The USA",6,14.99
"L19192","800","Lightweight silver toned bangle with 3 sparkling rhinestones placed amongst the band. This bangle will stack up to create your perfect story! Choose a mermaid heart charm or wear all five mermaid charms for an adorable look! The charms included with this trendy bangle are: a mermaid tail, a mermaid soul piece, a shell, a mermaid, and a mermaid scale heart. These charms are hot and trendy right now, so add these to your arm party while you can!","Mermaid Charm Bracelet","Novelty","Silver","Bracelets","Silver","","Charm, Bracelet, Adjustable, Mermaid",150,"","Silver Tone Plating With Glass And Enamel Accents","Adjustable | Style # L19192","7.5&amp;quot; Length | Designed In The USA",6,14.99
"L19193","800","Lightweight silver toned bangle with 3 sparkling rhinestones placed amongst the band. This bangle will stack up to create your perfect story! Choose a palm tree charm or wear all five Hawaii charms for an adorable look! The charms included with this trendy bangle are: a pineapple, a swimsuit, sunglasses, a hibiscus, and a palm tree. These charms are hot and trendy right now, so add these to your arm party while you can!","Hawaii Charm Bracelet","Novelty","Silver","Bracelets","Silver","","Charm, Bracelet, Adjustable, Hawaii, Vacation",150,"","Silver Tone Plating With Glass And Enamel Accents","Adjustable | Style # L19193","7.5&amp;quot; Length | Designed In The USA",6,14.99
"L19194","800","Lightweight gold toned bangle with 3 sparkling rhinestones placed amongst the band. This bangle will stack up to create your perfect story! Choose a dove charm or wear all five faith charms for an adorable look! The charms included with this trendy bangle are: an angel wing, the word blessed, a rhinestone accent, a cross, and a dove. These charms are hot and trendy right now, so add these to your arm party while you can!","Faith Charm Bracelet","Novelty","Gold","Bracelets","Gold","","Charm, Bracelet, Adjustable, Faith, Cross",150,"","Gold Tone Plating With Glass And Enamel Accents","Adjustable | Style # L19194","7.5&amp;quot; Length | Designed In The USA",6,14.99
"L19195","800","Lightweight silver toned 18″ (extends to 21”) necklace with gorgeous charms to choose from! This necklace will stack up to create your perfect story! Choose a heart lock charm or wear all six girly charms for an adorable look! The charms included with this trendy necklace are: a heart lock, a heart key, a butterfly, a flower, a bow, and an Eiffel Tower. These charms are hot and trendy right now, so add these to your arm party while you can!","Girly Charm Necklace","Novelty","Silver","Necklaces","Silver","","Charm, Necklace, Girly",150,"","Silver Tone Plating With Glass And Enamel Accents","Lobster Claw Closure | Style # L19195","18&amp;quot; Length | 3&amp;quot; Extender Chain | Designed In The USA",6,14.99
"L19196","800","Lightweight gold toned 18″ (extends to 21”) necklace with gorgeous charms to choose from! This necklace will stack up to create your perfect story! Choose an arrow charm or wear all six colorful charms for an adorable look! The charms included with this trendy necklace are: a blue arrow, a rainbow horseshoe, a glam peace sign, a rainbow heart, a gold love emblem, or a rainbow eye. These charms are hot and trendy right now, so add these to your arm party while you can!","Rainbow Charm Necklace","Novelty","Gold","Necklaces","Gold","","Charm, Necklace, Rainbow",150,"","Gold Tone Plating With Glass And Enamel Accents","Lobster Claw Closure | Style # L19196","18&amp;quot; Length | 3&amp;quot; Extender Chain | Designed In The USA",6,14.99
"L19197","800","Lightweight gold toned 18″ (extends to 21”) necklace with gorgeous charms to choose from! This necklace will stack up to create your perfect story! Choose an owl charm or wear all six bird charms for an adorable look! The charms included with this trendy necklace are: an owl, a white feather, a bird cage, a blue tipped feather, a glam feather, and a bird. These charms are hot and trendy right now, so add these to your arm party while you can!","Bird Charm Necklace","Novelty","Gold","Necklaces","Gold","","Charm, Necklace, Bird",150,"","Gold Tone Plating With Glass And Enamel Accents","Lobster Claw Closure | Style # L19197","18&amp;quot; Length | 3&amp;quot; Extender Chain | Designed In The USA",6,14.99
"L19199","800","Lightweight silver toned bangle with 3 sparkling rhinestones placed amongst the band. This bangle will stack up to create your perfect story! Choose a globe charm or wear all five travel charms for an adorable look! The charms included with this trendy bangle are: a compass, a passport, a plane, a camera, or a globe. These charms are hot and trendy right now, so add these to your arm party while you can!","Travel Charm Bracelet","Novelty","Silver","Bracelets","Silver","","Charm, Bracelet, Adjustable, Travel",150,"","Silver Tone Plating With Glass And Enamel Accents","Adjustable | Style # L19199","7.5&amp;quot; Length | Designed In The USA",6,14.99
"L19200","800","Lightweight silver toned 18″ (extends to 21”) necklace with gorgeous charms to choose from! This necklace will stack up to create your perfect story! Choose a cat charm or wear all six feline fan charms for an adorable look! The charms included with this trendy necklace are: three cats, kitty ears, a pink cat toy, and a blue ribbon. These charms are hot and trendy right now, so add these to your arm party while you can!","Cat Charm Necklace","Novelty","Silver","Necklaces","Silver","","Charm, Necklace, Cat",150,"","Silver Tone Plating With Glass And Enamel Accents","Lobster Claw Closure | Style # L19200","18&amp;quot; Length | 3&amp;quot; Extender Chain | Designed In The USA",6,14.99
"11745","800","Minimal in size, but significant in style! Dainty pieces are perfect for on-the-go and will pair with any outfit. This adorable lotus ring is all you need to finish off your ensemble. Not to mention, the ring is adjustable; allowing a comfort fit or for you to stack it with others!","Dainty Lotus Ring","Sleek","Gold","Rings","Gold","","Dainty, lotus, flower, ring",433,"","Gold toned plating over brass with a unique laser cut design","Adjustable | Style # 11745","Designed in the USA",6,14.99
"11742","800","Minimal in size, but significant in style! Dainty pieces are perfect for on-the-go and will pair with any outfit. This adorable lotus necklace is all you need to finish off your ensemble. Not to mention, it’s versatile in length, allowing you to wear it as a 14” choker or a close fit necklace at 16” or 18.”","Dainty Lotus Necklace","Sleek","Gold","Necklaces","Gold","","Dainty, lotus, flower, necklace",430,"","Gold toned plating over brass with a unique laser cut design","Adjustable | Style # 11742","16""length | 3""extender chain | Designed in the USA",8,19.99
"10436","800","Lightweight silver toned hoop earrings with trending icon charms are perfect for the girl who is fun, playful, and loves versatility. Choose a flower charm or display all three charms per earring for an adorable look! The charms included with these trendy hoops are: a silver butterfly, a white flower, and a pink crystal drop.","Flower Charm Hoop Earrings","Novelty","Pink","Earrings","Silver","","Hoops, hoop earrings, charms, butterfly, spring, flower",410,"","Silver tone plating with glass and enamel accents","Surgical steel earwire | Style # 10436","1""hoop | Designed in the USA",6,14.99
"10435","800","Lightweight silver toned hoop earrings with trending icon charms are perfect for the girl who is fun, playful, and loves versatility. Choose a key charm or display all three charms per earring for an adorable look! The charms included with these trendy hoops are: a silver key, a silver heart lock, and a white flower blossom.","Key Charm Hoop Earrings","Novelty","White","Earrings","Silver","","Hoops, hoop earrings, charms, key, flower, heart",410,"","Silver tone plating with glass and enamel accents","Surgical steel earwire | Style # 10435","1""hoop | Designed in the USA",6,14.99
"10434","800","Lightweight silver toned hoop earrings with trending bohemian icon charms are perfect for the girl who is fun, playful, and loves versatility. Choose an evil eye charm or display all three charms per earring for an adorable look! The charms included with these trendy hoops are: a silver elephant (icon for strength), a silver evil eye (icon for good fortune and warding off the negative), and a blue tassel.","Evil Eye Charm Hoop Earrings","Novelty","Blue","Earrings","Silver","","Hoops, hoop earrings, charms, tassel, elephant, evil eye",410,"","Silver tone plating with glass and enamel accents","Surgical steel earwire | Style # 10434","1""hoop | Designed in the USA",6,14.99
"10433","800","Lightweight silver toned hoop earrings with trending icon charms are perfect for the girl who is fun, playful, and loves versatility. Choose a cross charm or display all three charms per earring for an adorable look! The charms included with these trendy hoops are: a silver cross, a black tassel, and a clear crystal drop.","Cross Charm Hoop Earrings","Novelty","Black","Earrings","Silver","","Hoops, hoop earrings, charms, cross, tassel",410,"","Silver tone plating with glass and enamel accents","Surgical steel earwire | Style # 10433","1""hoop | Designed in the USA",6,14.99
"11993","800","Boho-chic and completely unique! This leather bracelet is a gorgeous natural treasure with its vintage style silver plating, tassel and Buddha charms, and ___ focal piece. Wear on its own or style with additional bohemian jewelry!","Black Stone Buckle Bracelet","Boho Chic","Black","Bracelets","Silver","","Natural, stone, boho, leather, buckle, focal, tassel, buddha, bracelet",535,"","Antique silver toned plating over metal base with a leather band and natural gemstones accents","Adjustable | Buckle closure | Style # 11993","8""length | Designed in the USA",10,24.99
"11994","800","Boho-chic and completely unique! This leather bracelet is a gorgeous natural treasure with its vintage style silver plating, bull charm, and turquoise focal piece. Wear on its own or style with additional bohemian jewelry!","Turquoise Stone Buckle Bracelet","Boho Chic","Turquoise","Bracelets","Silver","","Natural, stone, boho, leather, buckle, focal, bracelet",535,"","Antique silver toned plating over metal base with a leather band and natural gemstones accents","Adjustable | Buckle closure | Style # 11994","8""length | Designed in the USA",10,24.99
"11995","800","Boho-chic and completely unique! This leather bracelet is a gorgeous natural treasure with its vintage style gold plating, evil eye charm, and arrow focal piece. Wear on its own or style with additional bohemian jewelry!","Arrow Head Buckle Bracelet","Boho Chic","Brown","Bracelets","Gold","","Natural, stone, boho, leather, buckle, focal, arrow, pave, bracelet",535,"","Antique gold toned plating over metal base with a leather band and natural gemstones accents","Adjustable | Buckle closure | Style # 11995","8""length | Designed in the USA",10,24.99
"10432","800","Lightweight silver toned hoop earrings with trending icon charms are perfect for the girl who is fun, playful, and loves versatility. Choose a sunflower charm or display all three charms per earring for an adorable look! The charms included with these trendy hoops are: a yellow sunflower, a silver leaf, and a silver hummingbird.","Sunflower Charm Hoop Earrings","Novelty","Yellow","Earrings","Silver","","Hoops, hoop earrings, charms, spring, bird, hummingbird, sunflower, feather",410,"","Silver tone plating with glass and enamel accents","Surgical steel earwire | Style # 10432","1""hoop | Designed in the USA",6,14.99
"10431","800","Lightweight silver toned hoop earrings with trending icon charms are perfect for the girl who is fun, playful, and loves versatility. Choose a mermaid charm or display all three charms per earring for an adorable look! The charms included with these trendy hoops are: a mermaid, a mermaid tail, and a gleaming ocean-blue accent piece.","Mermaid Charm Hoop Earrings","Novelty","Blue","Earrings","Silver","","Hoops, hoop earrings, charms, mermaid,  nautical",410,"","Silver tone plating with glass and enamel accents","Surgical steel earwire | Style # 10431","1""hoop | Designed in the USA",6,14.99
"10427","800","Trendy gold toned bangles look stunning on their own or stacked as part of an arm party. This special horoscope version is perfectly custom to your sign with themed charms and a sparkling glass crystal placed amongst the band. Find your zodiac sign (<a href=“https://laurajanelle.com/?s=horoscope&post_type=product&dgwt_wcas=1”>see all here</a>) or grab a friend’s (making a great gift).<br>FEATURED SIGN: Sagittarius (Nov 22-Dec 21)<br>CRYSTAL COLOR: Amethyst","Sagittarius Horoscope Charm Bracelet","Novelty","Purple","Bracelets","Gold","","Horoscope, bangle, charms, Sagittarius",400,"","Gold tone plating with a brushed finish and glass and enamel accents","Adjustable | Style # 10427","7.5""length | Designed in the USA",6,14.99
"11410","800","Making a grand debut this season is this gold toned brass cuff with striking beaded details and unique stones. This mixed media cuff will be your new go-to jewelry piece. Going to the mall? Have a romantic date planned? Headed to the beach? Wherever you go, make sure your arm party goes with you!","Brown Teardrop Cuff Bracelet","Boho Chic","Pink","Bracelets","Gold","","Cuff, skinny cuff, tassel, focal, faceted, bracelet",495,"","Gold toned plating over metal base with glass beads and a unique stone focal piece","Adjustable | Style # 11410","Designed in the USA",7.5,19.99
"11411","800","This Modern Dainty style is all the rave this season!  It is the perfect piece to add to your arm party and you`ll have so much fun stacking these! This piece has mixed media, faceted beads, and an eslastic stretch to fit most wrist sizes. It will be your new go-to jewelry piece! Going to the mall? Have a romantic date planned? Headed to the beach? Wherever you go, make sure your arm party goes with you!","Grey Circle Stretch Bracelet","Boho Chic","Pink","Bracelets","Gold","","Stretch, focal, chain tassel, feather, bracelet",490,"","Gold toned plating over metal base with glass beads and a unique stone focal piece","Stretch | Style # 11411","Designed in the USA",5.75,14.99
"11412","800","This Modern Dainty style is all the rave this season!  It is the perfect piece to add to your arm party and you`ll have so much fun stacking these! This piece has mixed media, faceted beads, and an eslastic stretch to fit most wrist sizes. It will be your new go-to jewelry piece! Going to the mall? Have a romantic date planned? Headed to the beach? Wherever you go, make sure your arm party goes with you!","Orange Circle Stretch Bracelet","Boho Chic","Multi","Bracelets","Gold","","Stretch, focal, tassel, bracelet",490,"","Gold toned plating over metal base with glass beads and a unique stone focal piece","Stretch | Style # 11412","Designed in the USA",5.75,14.99
"11413","800","Making a grand debut this season is this gold toned brass cuff with striking beaded details and unique stones. This mixed media cuff will be your new go-to jewelry piece. Going to the mall? Have a romantic date planned? Headed to the beach? Wherever you go, make sure your arm party goes with you!","Yellow Stone Cuff Bracelet","Boho Chic","Yellow","Bracelets","Gold","","Cuff, skinny cuff, tassel, focal, faceted, bracelet",495,"","Gold toned plating over metal base with glass beads and a unique stone focal piece","Adjustable | Style # 11413","Designed in the USA",7.5,19.99
"10941","800","Trendy, yet classic. Abalone, a precious shell from the sea, is the total look of these jaw-dropping earrings. Oblong in shape, and elegant as ever, with a gorgeous strip of rhinestones on the outer edge. Overall this gives these drop style earrings an even more exquisite look. These earrings will make an absolute wow statement. They are sure to impress and will look fabulous with any outfit!","Pav&eacute; Abalone Earrings","Sleek","Multi","Earrings","Silver","","Shell, abalone, drop, rhinestone",900,"","Silver tone plating over brass with glass crystal and abalone shell accents","Shiny metal earwire | Style # 10941","0.8""length | Designed in the USA",9.25,24.99
"10942","800","Trendy, yet classic. Abalone, a precious shell from the sea, is the total look of these jaw-dropping earrings. Square in shape, and elegant as ever, with a gorgeous strip of rhinestones running down the center of the abalone. These earrings will make an absolute wow statement. They are sure to impress and will look fabulous with any outfit!","Abalone Square Earrings","Sleek","Multi","Earrings","Silver","","Shell, abalone, square, stud, rhinestone",900,"","Gold tone plating over brass with glass crystal and abalone shell accents","Shiny metal posts | Style # 10942","0.7""length | Designed in the USA",7,19.99
"10943","800","This is where classic meets edgy-chic. These earrings are trend driven, yet modern. Abalone, a precious shell from the sea, is the focal of these earrings as they hang in a teardrop shape. From the teardrop is a row of dainty spikes to give these edge. The silver toned hardware and spikes makes them a one of a kind beauty. They are sure to impress and will look fabulous with any outfit!","Abalone Spike Earrings","Sleek","Multi","Earrings","Silver","","Shell, abalone, drop, teardrop, spike",900,"","Silver tone plating over brass with glass crystal and abalone shell accents","Shiny metal earwire | Style # 10943","1.5""length | Designed in the USA",10.5,24.99
"10052","800","These sleek silver plated earring jackets are made with blue colored Swarovski<sup>&reg;</sup> crystals and make a trendy accent piece! They are versatile in style – you can choose to wear them as a stud or place the “jacket” to the back of your ear as a secondary look.","Aqua Oval Earring Jacket made with Swarovski® Crystals","Sleek","Blue","Earrings","Silver","","Swarovski, crystal, circle, Earrings jacket",510,"","Silver toned plating over metal base made with Swarovski® crystals","Shiny metal posts | Removable earring jackets | Style # 10052","1.25""length | Designed in the USA",12,24.99
"10050","800","These sleek gold plated earring jackets are made with silver colored Swarovski<sup>&reg;</sup> crystals and make a trendy accent piece! They are versatile in style – you can choose to wear them as a stud or place the “jacket” to the back of your ear as a secondary look.","Golden Square Earring Jacket made with Swarovski® Crystals","Sleek","Gold","Earrings","Gold","","Swarovski, crystal, square, Earrings jacket",510,"","Gold toned plating over metal base made with Swarovski® crystals","Shiny metal posts | Removable earring jackets | Style # 10050","1""length | Designed in the USA",12,24.99
"11744","800","Minimal in size, but significant in style! Dainty pieces are perfect for on-the-go and will pair with any outfit. This adorable lotus bracelet is all you need to finish off your ensemble. Not to mention, it’s versatile in size and great for stacking!","Dainty Lotus Bracelet","Sleek","Gold","Bracelets","Gold","","Dainty, lotus, flower, bracelet",432,"","Gold toned plating over brass with a unique laser cut design","Adjustable | Style # 11744","Designed in the USA",8,19.99
"11757","800","Minimal in size, but significant in style! Dainty pieces are perfect for on-the-go and will pair with any outfit. This adorable dragonfly ring is all you need to finish off your ensemble. Not to mention, the ring is adjustable; allowing a comfort fit or for you to stack it with others!","Dainty Dragonfly Ring","Sleek","Gold","Rings","Gold","","Dainty, dragonfly, ring",433,"","Gold toned plating over brass with a unique laser cut design","Adjustable | Style # 11757","Designed in the USA",6,14.99
"11754","800","Minimal in size, but significant in style! Dainty pieces are perfect for on-the-go and will pair with any outfit. This adorable dragonfly necklace is all you need to finish off your ensemble. Not to mention, it’s versatile in length, allowing you to wear it as a 14” choker or a close fit necklace at 16” or 18.”","Dainty Dragonfly Necklace","Sleek","Gold","Necklaces","Gold","","Dainty, dragonfly, necklace",430,"","Gold toned plating over brass with a unique laser cut design","Adjustable | Style # 11754","16""length | 3""extender chain | Designed in the USA",8,19.99
"11756","800","Minimal in size, but significant in style! Dainty pieces are perfect for on-the-go and will pair with any outfit. This adorable dragonfly bracelet is all you need to finish off your ensemble. Not to mention, it’s versatile in size and great for stacking!","Dainty Dragonfly Bracelet","Sleek","Gold","Bracelets","Gold","","Dainty, dragonfly, bracelet",432,"","Gold toned plating over brass with a unique laser cut design","Adjustable | Style # 11756","Designed in the USA",8,19.99
"18053LGPK","800","Who said there was only a such thing as arm candy? Introducing our latest debut in hand candy! These Adjustable Focal Rings are the sister to our Adjustable Layered Focal Bracelet and they truly couldn`t be more stunning. With a thick cuff style brass ring, hammered texture, and a genuine Soft Pink focal stone that screams, ""OMG, I need that!""you really can`t go wrong here.","Faceted Rose Quartz Ring","Boho Chic","Pink","Rings","Gold","","Focal, statement, cocktail, hammered, adjustable, teardrop, faceted, rose quartz, blush",255,"","Antique gold tone plating over brass with rose quartz focal stone","Adjustable base | Style # 18053","Designed in the USA",7.5,19.99
"18053LGTE","800","Who said there was only a such thing as arm candy? Introducing our latest debut in hand candy! These Adjustable Focal Rings are the sister to our Adjustable Layered Focal Bracelet and they truly couldn`t be more stunning. With a thick cuff style brass ring, hammered texture, and a genuine Tiger`s Eye focal stone that screams, ""OMG, I need that!""you really can`t go wrong here.","Tiger's Eye Square Ring","Boho Chic","Brown","Rings","Gold","","Focal, statement, cocktail, hammered, adjustable, square, tiger`s eye",255,"","Antique gold tone plating over brass with tiger's eye focal stone","Adjustable base | Style # 18053","Designed in the USA",7.5,19.99
"18053LGPBR","800","Who said there was only a such thing as arm candy? Introducing our latest debut in hand candy! These Adjustable Focal Rings are the sister to our Adjustable Layered Focal Bracelet and they truly couldn`t be more stunning. With a thick cuff style brass ring, hammered texture, and a genuine Brown Agate focal stone that screams, ""OMG, I need that!""you really can`t go wrong here.","Brown Agate Oval Ring","Boho Chic","Brown","Rings","Gold","","Focal, statement, cocktail, hammered, adjustable, brown, oval",255,"","Antique gold tone plating over brass with brown agate focal stone","Adjustable base | Style # 18053","Designed in the USA",7.5,19.99
"11767","800","Minimal in size, but significant in style! Dainty pieces are perfect for on-the-go and will pair with any outfit. These adorable cross earrings are all you need to finish off your ensemble.","Dainty Cross Earrings","Sleek","Silver","Earrings","Silver","","Dainty, cross, earrings",430,"","Silver toned plating over brass with a unique laser cut design","Surgican steel posts | Adjustable | Style # 11767","Designed in the USA",6,14.99
"11763","800","Minimal in size, but significant in style! Dainty pieces are perfect for on-the-go and will pair with any outfit. These adorable Tree of Life earrings are all you need to finish off your ensemble.","Dainty Tree of Life Earrings","Sleek","Silver","Earrings","Silver","","Dainty, tree, tree of life, earrings",430,"","Silver toned plating over brass with a unique laser cut design","Surgican steel posts | Adjustable | Style # 11763","Designed in the USA",6,14.99
"11755","800","Minimal in size, but significant in style! Dainty pieces are perfect for on-the-go and will pair with any outfit. These adorable dragonfly earrings are all you need to finish off your ensemble.","Dainty Dragonfly Earrings","Sleek","Gold","Earrings","Gold","","Dainty, dragonfly, earrings",430,"","Gold toned plating over brass with a unique laser cut design","Surgican steel posts | Adjustable | Style # 11755","Designed in the USA",6,14.99
"11743","800","Minimal in size, but significant in style! Dainty pieces are perfect for on-the-go and will pair with any outfit. These adorable lotus earrings are all you need to finish off your ensemble.","Dainty Lotus Earrings","Sleek","Gold","Earrings","Gold","","Dainty, lotus, flower, earrings",430,"","Gold toned plating over brass with a unique laser cut design","Surgican steel posts | Adjustable | Style # 11743","Designed in the USA",6,14.99
"11733","800","These sleek silver plated earring jackets are made with green colored Swarovski<sup>&reg;</sup> crystals and make a trendy accent piece! They are versatile in style – you can choose to wear them as a stud or place the “jacket” to the back of your ear as a secondary look.","Green Circle Earring Jacket made with Swarovski® Crystals","Sleek","Green","Earrings","Silver","","Swarovski, crystal, circle, Earrings jacket",510,"","Silver toned plating over brass made with Swarovski® crystals","Shiny metal posts | Removable earring jackets | Style # 11733","1.4""length | Designed in the USA",12,24.99
"11732","800","These sleek gold plated earring jackets are made with black colored Swarovski<sup>&reg;</sup> crystals and make a trendy accent piece! They are versatile in style – you can choose to wear them as a stud or place the “jacket” to the back of your ear as a secondary look.","Black Rectangle Earring Jacket Made With Swarovski&reg; Crystals","Sleek","Black","Earrings","Gold","","Swarovski, Crystal, Rectangle, Earrings Jacket",510,"","Gold Toned Plating Over Brass Made With Swarovski&reg; Crystals","Shiny Metal Posts | Removable Earring Jackets | Style # 11732","1.5&quot; Length | Designed In The USA",12,24.99
"CD113E","800","Have small header cards and need somewhere to store them? This petite slotted display is the perfect choice!","Black Acrylic Slotted Earring Display","Display","Black","Displays","","","Display, plastic, acrylic, earring, slotted, small, black, card,carded",230,"","Black acrylic material","Display has 3 rows of slots for headers","13.75""x 4.75""x 3.5""| Designed in the USA",20,0
"CD052","800","This acrylic necklace display has 12 notches from the bottom to the top to clasp your necklaces of choice around. It is sleek in style and is a nice size for your countertop! Works great for: <a href= “https://laurajanelle.com/?s=birthstone&post_type=product&dgwt_wcas=1”>birthstone lockets</a>, <a href= “https://laurajanelle.com/?s=birthstone&post_type=product&dgwt_wcas=1”>birthstone bars</a>, and more!","Black Acrylic Necklace Display","Display","Black","Displays","","","Display, plastic, acrylic, necklace, black",400,"","Black acrylic material","Display has 12 knotches for necklaces","7.5""x 5""x 15.5""| Designed in the USA",25,0
"CD113EB","800","Stepping it up with our displays… pun intended! Choose the small or large display to show off your carded jewelry pieces. Each step offers two slits to store an additional piece rather than adding it to your back stock inventory.","Black Small Slotted Step Display","Display","Black","Displays","","","Display, slot, slotted, black, acrylic, step, carded, box",185,"","Black acrylic material","2 slots per step, 3 steps | Style # CD113EB","13.5x6x3""| Designed in the USA",30,0
