"vItemNumber","vLocation","vDescription","vShortDesc","vLook","vSpecificColor","vGenColor","vGenMaterial","vGenItemType","vShape","vSizeType","vMetalColor","vMetalType","vDimensions","vPcCounts","vKeywords","vOnSale","vFeaturedItem","vSorting","vAggregation","itemprice_1","itemprice_2","quantityonhand","imagefilename","lookAttr","funcAttr","materialAttr"
"34708171","900","These trendy Gunmetal and Rainbow Beadelle Metal Beadelles will add the perfect touch to any of your creations! Make something uniquely you that stands out in the crowd! Beads are multifunctional - you can use them in all sorts of craft projects; from jewelry, to embellishments, to even sculpture. Get inspired to create!","5pc Gunmetal and Rainbow Beadelle Metal Beads","Beads","Gunmetal, Rainbow","Rainbow","Base Metal, Acrylic","Metal Beads","Beadelle",,"Gunmetal","","6mm","5pc","Metal, Bead, 6Mm, Gunmetal, Multicolor, Beadelle","N","N",999999,"",2,3.99,85,"https://www.cousindiy.com/diyimages/34708171.jpg, https://www.cousindiy.com/diyimages/34708171-2.jpg, https://www.cousindiy.com/diyimages/34708171-3.jpg, https://www.cousindiy.com/diyimages/34708171-4.jpg, https://www.cousindiy.com/diyimages/34708171-5.jpg","Beads","Metal Beads","Base Metal"
"34712005","900","These trendy Antique Gold Circle Ring 30pc Star, 30pc Flower are designed to create embellished connections. Great as stand-alone focal pieces or to add decorations to specific parts of your creations.","5pc Antique Gold Circle Ring Metal Connectors","Charms and Accents","Antique Gold","Gold","Base Metal","Connectors","Circle Ring",,"Gold","","","5pc","Circle, Round, Cut, Out, Cutout, Textured, Link, Connector, Finding","N","N",999999,"",2,3.99,537,"https://www.cousindiy.com/diyimages/34712005.jpg, https://www.cousindiy.com/diyimages/34712005-2.jpg, https://www.cousindiy.com/diyimages/34712005-3.jpg, https://www.cousindiy.com/diyimages/34712005-4.jpg, https://www.cousindiy.com/diyimages/34712005-5.jpg","Charms and Accents","Connectors","Base Metal"
"34712211","900","Use these Antique Gold Flat Metal Head Pins to connect different elements of your design. They can be used for drop charms, creating dangles or threading.","60pc Antique Gold Flat Metal Head Pins","Findings","Antique Gold","Gold","Base Metal","Head Pins","Flat",,"Antique Gold","Iron","2in","60pc","Findings, Antique, Gold, Gold, Base, Metal, Head, Pins, Antique, Gold, 2In, 60Pc, Flat, Head, Pins, Antique, Gold","N","N",999999,"",1,1.99,716,"https://www.cousindiy.com/diyimages/34712211.jpg, https://www.cousindiy.com/diyimages/34712211-2.jpg, https://www.cousindiy.com/diyimages/34712211-3.jpg, https://www.cousindiy.com/diyimages/34712211-4.jpg, https://www.cousindiy.com/diyimages/34712211-5.jpg","Findings","Head Pins","Base Metal"
"29502112","900","Design truly refined jewelry with these  Flower Silver Plated Metal Earwires . Ideal for custom dangle earrings. Add a rubber earring back for extra security.  All of our silver plated components are plated with real silver.","4pc  Flower Silver Plated Metal Earwires","Real and Plated Metals","Silver","Silver","Silver Plated","Earring Findings","Flower",,"Silver","Silver, Copper","20mm","4pc","20Mm, Silver, Plated, Flower, Ear, Wire, Finding","N","N",999999,"",2,3.99,210,"https://www.cousindiy.com/diyimages/29502112.jpg, https://www.cousindiy.com/diyimages/29502112-2.jpg, https://www.cousindiy.com/diyimages/29502112-3.jpg, https://www.cousindiy.com/diyimages/29502112-4.jpg, https://www.cousindiy.com/diyimages/29502112-5.jpg","Real and Plated Metals","Earring Findings","Silver Plated"
"2950213","900","Design truly refined jewelry with these  Ball Silver Plated Metal Ear Posts . Ideal for custom dangle earrings. Don’t forget to pick an earring back style! All of our silver plated components are plated with real silver.","3Set  Ball Silver Plated Metal Ear Posts","Real and Plated Metals","Silver","Silver","Silver Plated","Earring Findings","Ball",,"Silver","Silver, Copper","4mm","3Set","Silver, Plate, Ear, Post, 4Mm, Ball, Finding","N","N",999999,"",2,3.99,657,"https://www.cousindiy.com/diyimages/2950213.jpg, https://www.cousindiy.com/diyimages/2950213-2.jpg, https://www.cousindiy.com/diyimages/2950213-3.jpg, https://www.cousindiy.com/diyimages/2950213-4.jpg, https://www.cousindiy.com/diyimages/2950213-5.jpg","Real and Plated Metals","Earring Findings","Silver Plated"
"34733075","900","Emerald 6/0 Glass E-Beads are perfect for those tiny details that put your design above the rest. Make elaborate or simple pieces that always look polished and impressive.","40G Emerald 6/0 Glass E-Beads","Beads","Emerald","Green","Glass","Seed-E-Bugle beads","6/0",,,"",,"40G","40G/1. 4Oz, Glass, 6/Green, Silver, Lined, E-Bead","N","N",999999,"",1.25,2.49,52,"https://www.cousindiy.com/diyimages/34733075.jpg, https://www.cousindiy.com/diyimages/34733075-2.jpg, https://www.cousindiy.com/diyimages/34733075-3.jpg, https://www.cousindiy.com/diyimages/34733075-4.jpg, https://www.cousindiy.com/diyimages/34733075-5.jpg","Beads","Seed-E-Bugle beads","Glass"
"34733080","900","Brown Palette 6/0 Glass E-Beads are perfect for those tiny details that put your design above the rest. Make elaborate or simple pieces that always look polished and impressive.","40G Brown Palette 6/0 Glass E-Beads","Beads","Brown, Ecru, Tan","Brown","Glass","Seed-E-Bugle beads","6/0",,,"",,"40G","40G, 1. 4, Oz, Glass, Autumn, E-Bead, Mix
","N","N",999999,"",1.25,2.49,312,"https://www.cousindiy.com/diyimages/34733080.jpg, https://www.cousindiy.com/diyimages/34733080-2.jpg, https://www.cousindiy.com/diyimages/34733080-3.jpg, https://www.cousindiy.com/diyimages/34733080-4.jpg, https://www.cousindiy.com/diyimages/34733080-5.jpg","Beads","Seed-E-Bugle beads","Glass"
"34713074","900","Create unique pieces of jewelry that everyone will love with Autumn Multi Glass Bead Mix . Whether you are designing necklaces, bracelets, earrings or more. These beads will make your creations stand out amongst the rest!","50G Autumn Multi Glass Bead Mix","Beads","Autumn","Yellow","Glass","Glass Beads","Multi",,,"",,"50G","5Gram, Green, Beads, Green, Earth, Shape, Beads, Round, Beads, Mixed, Hues, Earth, Beads, Jewelry, Basics, Glass, Beads","N","N",999999,"",2,3.99,454,"https://www.cousindiy.com/diyimages/34713074.jpg, https://www.cousindiy.com/diyimages/34713074-2.jpg, https://www.cousindiy.com/diyimages/34713074-3.jpg, https://www.cousindiy.com/diyimages/34713074-4.jpg, https://www.cousindiy.com/diyimages/34713074-5.jpg","Beads","Glass Beads","Glass"
"34718102","900","This versatile Gold Cable Chain provides the perfect base for your custom jewelry creations. Use it to create a lovely necklace or bracelet paired with your favorite colors.","30in Gold Cable Metal Chain","Chains","Gold","Gold","Base Metal","Chain","Cable",,"Gold","Copper","30inx3mm","30in","Base, Metal, 30in, 3mm, Chain, cable, Chain, gold,","N","N",999999,"",2,3.99,37,"https://www.cousindiy.com/diyimages/34718102.jpg, https://www.cousindiy.com/diyimages/34718102-2.jpg, https://www.cousindiy.com/diyimages/34718102-3.jpg, https://www.cousindiy.com/diyimages/34718102-4.jpg, https://www.cousindiy.com/diyimages/34718102-5.jpg","Chains","Chain","Base Metal"
"34708660","900","Boho Feather Do It Yourself Jewelry Kit Do it yourself! You'll love the Boho style found in this kit. It features 2 projects: one ring and a pair of earrings that you can make in less than 30 minutes.  Simply follow the instructions included in this kit to create a great addition to your jewelry collection.","25pc Boho Feather Do It Yourself Jewelry Kit","Kits","Turquoise","Turquoise","Base Metal","Jewelry kits","Feather",,"Silver","Zinc, Iron","","25pc","Turquoise, Base, Metal, Zinc, Iron, Jewelry, Kits, Do, It, Yourself, Kit, Boho,","N","N",999999,"",1.995,3.99,206,"https://www.cousindiy.com/diyimages/34708660.jpg, https://www.cousindiy.com/diyimages/34708660-2.jpg, https://www.cousindiy.com/diyimages/34708660-3.jpg, https://www.cousindiy.com/diyimages/34708660-4.jpg, https://www.cousindiy.com/diyimages/34708660-5.jpg","Kits","Jewelry kits","Base Metal"
"34713152","900","These trendy Brown Corner Drilled Square Glass Beads will add the perfect touch to any of your creations! Make something uniquely you that stands out in the crowd! Beads are multifunctional - you can use them in all sorts of craft projects; from jewelry, to embellishments, to even sculpture. Get inspired to create!","10pc Brown Corner Drilled Square Glass Beads","Beads","Brown","Brown","Glass","Glass Beads","Corner Drilled Square",,,"","10mm","10pc","Brown, Glass, 10Mm, Glass, Beads, Diamond, Pillow","N","N",999999,"",2,3.99,1355,"https://www.cousindiy.com/diyimages/34713152.jpg, https://www.cousindiy.com/diyimages/34713152-2.jpg, https://www.cousindiy.com/diyimages/34713152-3.jpg, https://www.cousindiy.com/diyimages/34713152-4.jpg, https://www.cousindiy.com/diyimages/34713152-5.jpg","Beads","Glass Beads","Glass"
"34734105","900","These trendy Black Circle Acrylic Beads will add the perfect touch to any of your creations! Make something uniquely you that stands out in the crowd! Beads are multifunctional - you can use them in all sorts of craft projects; from jewelry, to embellishments, to even sculpture. Get inspired to create!","185pc Black Circle Acrylic Beads","Beads, Kids","Black","Black","Acrylic","Acrylic-Plastic Beads","Circle",,,"","","185pc","Alpha, Beads, Round, Black, White, Mix","N","N",999999,"",1.5,2.99,1926,"https://www.cousindiy.com/diyimages/34734105.jpg, https://www.cousindiy.com/diyimages/34734105-2.jpg, https://www.cousindiy.com/diyimages/34734105-3.jpg, https://www.cousindiy.com/diyimages/34734105-4.jpg, https://www.cousindiy.com/diyimages/34734105-5.jpg","Beads","Acrylic-Plastic Beads","Acrylic"
"34734111","900","Captivate your little crafters with these Red  Plastic Pony Beads . Perfect for parties, camp activities, and Me and You time. The endless potential to make will inspire kids of all ages!","250pc Red  Plastic Pony Beads","Beads, Kids","Red","Red","Plastic","Pony Beads","",,,"","6x9mm","250pc","Red, Plastic, 6X9Mm, Pony, Beads, Acrylic/Plastic, Beads, Craft, Round","N","N",999999,"",1,1.99,1278,"https://www.cousindiy.com/diyimages/34734111.jpg, https://www.cousindiy.com/diyimages/34734111-2.jpg, https://www.cousindiy.com/diyimages/34734111-3.jpg, https://www.cousindiy.com/diyimages/34734111-4.jpg, https://www.cousindiy.com/diyimages/34734111-5.jpg","Beads","Pony Beads","Plastic"
"34698112","900","Make your very own bracelet with this Black, Antique Gold Square Stud Leather Wrap Bracelet Base ! Perfect for adding on beads or charms to create a custom design.","1pc Black, Antique Gold Square Stud Leather Wrap Bracelet Base","Jewelry Bases","Black, Antique Gold","Black","Leather","Bracelets","Square Stud",,"Antique Gold","","Adjustable","1pc","Jewelry, Bases, Black, Antique, Gold, Black, Leather, Bracelets, Antique, Gold, Adjustable, 1Pc, Square, Stud, Wrap, Bracelet, Base, Black, Antique, Gold","N","N",999999,"",2,3.99,429,"https://www.cousindiy.com/diyimages/34698112.jpg, https://www.cousindiy.com/diyimages/34698112-2.jpg, https://www.cousindiy.com/diyimages/34698112-3.jpg, https://www.cousindiy.com/diyimages/34698112-4.jpg, https://www.cousindiy.com/diyimages/34698112-5.jpg","Jewelry Bases","Bracelets","Leather"
"34708043","900","This trendy Silver, Turquoise round Metal Pendant will instantly make your jewelry projects a fashion standard. Use as a focal on any piece to express your style or to create a custom gift.","1pc Silver, Turquoise round Metal Pendant","Charms and Accents","Silver,Turquoise","Turquoise","Base Metal","Pendants","round",,"Silver","Zinc","48x30mm","1pc","Silver, Turquoise, Base, Metal, Zinc, 48X30Mm, Pendants, Accent, Turquoise,","N","N",999999,"",2,3.99,2641,"https://www.cousindiy.com/diyimages/34708043.jpg, https://www.cousindiy.com/diyimages/34708043-2.jpg, https://www.cousindiy.com/diyimages/34708043-3.jpg, https://www.cousindiy.com/diyimages/34708043-4.jpg, https://www.cousindiy.com/diyimages/34708043-5.jpg","Charms and Accents","Pendants","Base Metal"
"34719023","900","Create any kind of dangle earring with these Antique Gold Fishhook Metal Earwires . Add a rubber earring back for extra security.","100pc Antique Gold Fishhook Metal Earwires","Findings","Antique Gold","Antique Gold","Base Metal","Earring Findings","Fishhook",,"Antique Gold","","","100pc","""Program, #, 51321, 34719023, 016321059757, Jewelry, Basics, Findings, 34719-023, 100Pc, Mix, Earring, Wire, Antique, Gold, 100, Piece, Mix, Earring, Wire, Antique, Gold""","N","N",999999,"0.0",2,3.99,686,"https://www.cousindiy.com/diyimages/34719023.jpg, https://www.cousindiy.com/diyimages/34719023-2.jpg, https://www.cousindiy.com/diyimages/34719023-3.jpg, https://www.cousindiy.com/diyimages/34719023-4.jpg, https://www.cousindiy.com/diyimages/34719023-5.jpg","Findings","Earring Findings","Base Metal"
"34719052","900","Use these Silver Flat Metal Head Pins to connect different elements of your design. They can be used for drop charms, creating dangles or threading.","36pc Silver Flat Metal Head Pins","Findings","Silver","Silver","Base Metal","Head Pins","Flat",,"Silver","Iron","3in","36pc","Findings, Head, Pin, Silver","","N",999999,"",2,3.99,200,"https://www.cousindiy.com/diyimages/34719052.jpg, https://www.cousindiy.com/diyimages/34719052-2.jpg, https://www.cousindiy.com/diyimages/34719052-3.jpg, https://www.cousindiy.com/diyimages/34719052-4.jpg, https://www.cousindiy.com/diyimages/34719052-5.jpg","Findings","Head Pins","Base Metal"
"29502547","900","Design truly refined jewelry with this  Cable Silver Plated Metal Chain Necklace Base They are designed to create embellished connections. Great as a stand-alone focal piece or to add decoration to a specific part of your creation.  All of our silver plated components are plated with real silver.","1pc  Cable Silver Plated Metal Chain Necklace Base","Real and Plated Metals","Silver","Silver","Silver Plated","Necklaces","Cable",,"Silver","Silver, Copper","18inx1.3mm","1pc","Cable, Chain, Plated, Silver, Elegance","N","N",999999,"",3,5.99,199,"https://www.cousindiy.com/diyimages/29502547.jpg, https://www.cousindiy.com/diyimages/29502547-2.jpg, https://www.cousindiy.com/diyimages/29502547-3.jpg, https://www.cousindiy.com/diyimages/29502547-4.jpg, https://www.cousindiy.com/diyimages/29502547-5.jpg","Real and Plated Metals","Necklaces","Silver Plated"
"30307032","900","This coral Braided Cotton Rope Is great for many kinds of projects as well as jewelry. Create beautiful weaves, braids, wrapped projects and more for endless possibilities!","9.8ft coral Braided Cotton Rope","Cording and Wire","Coral","Orange","Cotton","Ropes","Braided",,,"","9.8ft","9.8ft","9. 8Ft/3M, Cotton, Braided, Coral, Rope, Cord, Sea, Beach, Tropical","N","N",999999,"",1.5,2.99,459,"https://www.cousindiy.com/diyimages/30307032.jpg, https://www.cousindiy.com/diyimages/30307032-2.jpg, https://www.cousindiy.com/diyimages/30307032-3.jpg, https://www.cousindiy.com/diyimages/30307032-4.jpg, https://www.cousindiy.com/diyimages/30307032-5.jpg","Cording and Wire","Ropes","Cotton"
"34696077","900","These Black 2-Hole Lace Rhinestone Acrylic Spacer Beads are designed with layers in mind. With multiple holes, you can use these to create multi strand designs that lay together quite nicely.","3pc Black 2-Hole Lace Rhinestone Acrylic Spacer Beads","Beads","Black","Black","Acrylic","Acrylic-Plastic Beads","2-Hole Lace Rhinestone",,,"","","3pc","Spacer, Black, Acrylic, Lace, Strand","N","N",999999,"",2,3.99,113,"https://www.cousindiy.com/diyimages/34696077.jpg, https://www.cousindiy.com/diyimages/34696077-2.jpg, https://www.cousindiy.com/diyimages/34696077-3.jpg, https://www.cousindiy.com/diyimages/34696077-4.jpg, https://www.cousindiy.com/diyimages/34696077-5.jpg","Beads","Acrylic-Plastic Beads","Acrylic"
"34697087","900","These Pink Round Glass Faceted Beads offer a sparkling effect from its multiple reflective flat surfaces sure to create eye-catching designs!","19pc Pink Round Glass Faceted Beads","Beads","Pink","Pink","Glass","Glass Beads","Round",,,"","","19pc","Pink, Glass, Glass, Beads, Crystal, Pink, Rounds","N","N",999999,"",2,3.99,123,"https://www.cousindiy.com/diyimages/34697087.jpg, https://www.cousindiy.com/diyimages/34697087-2.jpg, https://www.cousindiy.com/diyimages/34697087-3.jpg, https://www.cousindiy.com/diyimages/34697087-4.jpg, https://www.cousindiy.com/diyimages/34697087-5.jpg","Beads","Glass Beads","Glass"
"30002069","900","These Orange, Pink and Blue Square Plastic Stacking Organizers is the perfect solution to store your jewelry making components. Easily see and organize your storage, so you can find your items fast.","3pc Orange, Pink and Blue Square Plastic Stacking Organizers","Design and Storage","Orange, Pink And Blue","Multi","Plastic","Organizers","Square",,"","","13X16.5X15CM","3pc","Design & Storage, Orange, Pink, Blue, Multi, Plastic, Organizers, 13X16. 5X15Cm, 3Pc, Stacking Organizers, Orange, Pink, Blue","N","N",999999,"0.0",4.495,8.99,408,"https://www.cousindiy.com/diyimages/30002069.jpg, https://www.cousindiy.com/diyimages/30002069-2.jpg, https://www.cousindiy.com/diyimages/30002069-3.jpg, https://www.cousindiy.com/diyimages/30002069-4.jpg, https://www.cousindiy.com/diyimages/30002069-5.jpg","Design and Storage","Organizers","Plastic"
"30214520","900","Make your very own bracelet with this Clear Wide Acrylic Bracelet Base ! Perfect for adding on beads or charms to create a custom design.","1pc Clear Wide Acrylic Bracelet Base","Jewelry Bases","Clear","Clear","Acrylic","Bracelets","Wide",,,"","","1pc","Jewelry, Bases, Clear, Clear/Crystal, Acrylic, Bracelets, 1Pc, Wide, Snap, Bracelet, Clear","N","N",999999,"",3,5.99,694,"https://www.cousindiy.com/diyimages/30214520.jpg, https://www.cousindiy.com/diyimages/30214520-2.jpg, https://www.cousindiy.com/diyimages/30214520-3.jpg, https://www.cousindiy.com/diyimages/30214520-4.jpg, https://www.cousindiy.com/diyimages/30214520-5.jpg","Jewelry Bases","Bracelets","Acrylic"
"34708215","900","These trendy Copper Flower Metal Beads will add the perfect touch to any of your creations! Make something uniquely you that stands out in the crowd! Beads are multifunctional - you can use them in all sorts of craft projects; from jewelry, to embellishments, to even sculpture. Get inspired to create!","42pc Copper Flower Metal Beads","Beads","Copper","Brown","Base Metal","Metal Beads","Flower",,"Brown","","6mm","42pc","Bead, Copper, Flower, Metal, 6Mm","N","N",999999,"",2,3.99,337,"https://www.cousindiy.com/diyimages/34708215.jpg, https://www.cousindiy.com/diyimages/34708215-2.jpg, https://www.cousindiy.com/diyimages/34708215-3.jpg, https://www.cousindiy.com/diyimages/34708215-4.jpg, https://www.cousindiy.com/diyimages/34708215-5.jpg","Beads","Metal Beads","Base Metal"
"34708218","900","These trendy Silver Fluted Round Metal Beads will add the perfect touch to any of your creations! Make something uniquely you that stands out in the crowd! Beads are multifunctional - you can use them in all sorts of craft projects; from jewelry, to embellishments, to even sculpture. Get inspired to create!","45pc Silver Fluted Round Metal Beads","Beads","Silver","Silver","Base Metal","Metal Beads","Fluted Round",,"Silver","","4mm","45pc","Bead, Silver, Fluted, 4Mm, Metal","N","N",999999,"",2,3.99,222,"https://www.cousindiy.com/diyimages/34708218.jpg, https://www.cousindiy.com/diyimages/34708218-2.jpg, https://www.cousindiy.com/diyimages/34708218-3.jpg, https://www.cousindiy.com/diyimages/34708218-4.jpg, https://www.cousindiy.com/diyimages/34708218-5.jpg","Beads","Metal Beads","Base Metal"
"34708262","900","These Silver 3-Hole Rhinestone Bar Metal Spacer Beads are designed with layers in mind. With multiple holes, you can use these to create multi strand designs that lay together quite nicely.","6pc Silver 3-Hole Rhinestone Bar Metal Spacer Beads","Beads","Silver","Silver","Base Metal","Metal Beads","3-Hole Rhinestone Bar",,"Silver","Brass","4x20mm","6pc","Silver, Base, Metal, Brass, 4X20Mm, Metal, Beads, Rhinestones,","N","N",999999,"",2,3.99,1405,"https://www.cousindiy.com/diyimages/34708262.jpg, https://www.cousindiy.com/diyimages/34708262-2.jpg, https://www.cousindiy.com/diyimages/34708262-3.jpg, https://www.cousindiy.com/diyimages/34708262-4.jpg, https://www.cousindiy.com/diyimages/34708262-5.jpg","Beads","Metal Beads","Base Metal"
"34708283","900","These lovely Silver Star Metal Bead Caps add the perfect touch to your homemade jewelry creations. Accentuate any bead for a truly detail oriented design.","18pc Silver Star Metal Bead Caps","Findings","Silver","Silver","Base Metal","Bead Caps","Star",,"Silver","","","18pc","Bead, Cap, Silver, Star, Large, Metal","N","N",999999,"",2,3.99,216,"https://www.cousindiy.com/diyimages/34708283.jpg, https://www.cousindiy.com/diyimages/34708283-2.jpg, https://www.cousindiy.com/diyimages/34708283-3.jpg, https://www.cousindiy.com/diyimages/34708283-4.jpg, https://www.cousindiy.com/diyimages/34708283-5.jpg","Findings","Bead Caps","Base Metal"
"29502151","900","Design truly refined jewelry with these  Circle Silver Plated Metal Chandelier Earwires They are designed to create embellished connections. Great as a stand-alone focal piece or to add decoration to a specific part of your creation.  All of our silver plated components are plated with real silver.","2pc  Circle Silver Plated Metal Chandelier Earwires","Real and Plated Metals","Silver","Silver","Silver Plated","Earring Findings","Circle",,"Silver","Silver, Copper","18mm","2pc","18Mm, Plate, Silver, Fishhook, Circle, Star, Finding","N","N",999999,"",2,3.99,936,"https://www.cousindiy.com/diyimages/29502151.jpg, https://www.cousindiy.com/diyimages/29502151-2.jpg, https://www.cousindiy.com/diyimages/29502151-3.jpg, https://www.cousindiy.com/diyimages/29502151-4.jpg, https://www.cousindiy.com/diyimages/29502151-5.jpg","Real and Plated Metals","Earring Findings","Silver Plated"
"29502182","900","Design truly refined jewelry with this  fancy Oval link Silver Plated Metal Chain Bracelet Base They are designed to create embellished connections. Great as a stand-alone focal piece or to add decoration to a specific part of your creation.  All of our silver plated components are plated with real silver.","1pc  fancy Oval link Silver Plated Metal Chain Bracelet Base","Real and Plated Metals","Silver","Silver","Silver Plated","Bracelets","fancy Oval link",,"Silver","Silver, Copper","7inx4mm","1pc","Real and Plated, Metals, Jewelry, Bases, Silver, Silver, Silver, Plated, Bracelets, Silver, 7In, 1Pc, 4Mm, Fancy, Oval, Link, Chain, Bracelet, Base, Silver","N","N",999999,"",2,3.99,1173,"https://www.cousindiy.com/diyimages/29502182.jpg, https://www.cousindiy.com/diyimages/29502182-2.jpg, https://www.cousindiy.com/diyimages/29502182-3.jpg, https://www.cousindiy.com/diyimages/29502182-4.jpg, https://www.cousindiy.com/diyimages/29502182-5.jpg","Real and Plated Metals","Bracelets","Silver Plated"
"34708664","900","Dreamy Flower Do It Yourself Jewelry Kit Do it yourself! You'll love the dreamy blue style found in this kit. You can make a double layer necklace in less than 30 minutes.  Simply follow the instructions included in this jewelry kit to create a great addition to your jewelry collection.","13pc Dreamy Flower Do It Yourself Jewelry Kit","Kits","Blue, Teal","Blue","Base Metal","Jewelry kits","Flower",,"Silver","Iron, Zinc","","13pc","Blue, Teal, Base, Metal, Iron, Zinc, Jewelry, Kits, Do, It, Yourself, Kit, Dreamy","N","N",999999,"",2.495,4.99,315,"https://www.cousindiy.com/diyimages/34708664.jpg, https://www.cousindiy.com/diyimages/34708664-2.jpg, https://www.cousindiy.com/diyimages/34708664-3.jpg, https://www.cousindiy.com/diyimages/34708664-4.jpg, https://www.cousindiy.com/diyimages/34708664-5.jpg","Kits","Jewelry kits","Base Metal"
"34709853","900","Create your own custom key chains or purse accents with this  Dorothy Cameo Enameled Metal Key Ring ! Make a sassy statement wherever you go.  Show off your love for this iconic movie!","1pc  Dorothy Cameo Wizard of Oz Metal Key Ring","Wizard of Oz","Yellow Pine","Red","","","Dorothy Cameo",,"","","","1pc","Finished Accessories, Wizard Of Oz, Red, Silver, Red, 1Pc,","N","N",999999,"",3.995,7.99,166,"https://www.cousindiy.com/diyimages/34709853.jpg, https://www.cousindiy.com/diyimages/34709853-2.jpg, https://www.cousindiy.com/diyimages/34709853-3.jpg, https://www.cousindiy.com/diyimages/34709853-4.jpg, https://www.cousindiy.com/diyimages/34709853-5.jpg","Wizard of Oz","",""
"30214512","900","Make your very own bracelet with this Gold Cup Popcorn Curb Metal Chain Bracelet Base ! Perfect for adding on beads or charms to create a custom design.","1pc Gold Cup Popcorn Curb Metal Chain Bracelet Base","Jewelry Bases","Gold","Gold","Base Metal","Bracelets","Cup Popcorn Curb",,"Gold","","7in","1pc","Gold, Base, Metal, 7In, Bracelets, Rhinestone, Popcorn, Curb","N","N",999999,"",3.5,6.99,822,"https://www.cousindiy.com/diyimages/30214512.jpg, https://www.cousindiy.com/diyimages/30214512-2.jpg, https://www.cousindiy.com/diyimages/30214512-3.jpg, https://www.cousindiy.com/diyimages/30214512-4.jpg, https://www.cousindiy.com/diyimages/30214512-5.jpg","Jewelry Bases","Bracelets","Base Metal"
"32026","900","This Clear #30 Plastic Monofilament can be used to create spaced hanging strands, sturdy threading, and generally connecting elements of all kinds. Use a doubled overhand knot or crimp beads for a strong hold.","360ft Clear #30 Plastic Monofilament","Cording and Wire","Clear","Clear","Plastic","Filament Cords","#30",,,"","360ft","360ft","Cording, &, Wire, Clear, Clear/Crystal, Plastic, Filament, Cords, 360Ft, 1Pc, #3, Monofilament, Clear","N","N",999999,"",1,1.99,237,"https://www.cousindiy.com/diyimages/32026.jpg, https://www.cousindiy.com/diyimages/32026-2.jpg, https://www.cousindiy.com/diyimages/32026-3.jpg, https://www.cousindiy.com/diyimages/32026-4.jpg, https://www.cousindiy.com/diyimages/32026-5.jpg","Cording and Wire","Filament Cords","Plastic"
"34699700","900","This Amber Mesh Large Hole Bead Bracelet Kit is perfect for any level of Jewelry maker, or someone who just loves fashion! Load on the beads that come with this kit or get additional ones to switch out when your feel inspired.","14pc Amber Mesh Large Hole Bead Bracelet Kit","Kits","Orange, Blue, White","Multi","Base Metal, Glass","Jewelry kits","Mesh",,"Multi","","7in","14pc","Kits, Orange, Blue, White, Multi, Base, Metal, Glass, Jewelry, Kits, Multi, 7In, 14Pc, Mesh, Large, Hole, Bead, Bracelet, Kit, Amber","N","N",999999,"",5,9.99,129,"https://www.cousindiy.com/diyimages/34699700.jpg, https://www.cousindiy.com/diyimages/34699700-2.jpg, https://www.cousindiy.com/diyimages/34699700-3.jpg, https://www.cousindiy.com/diyimages/34699700-4.jpg, https://www.cousindiy.com/diyimages/34699700-5.jpg","Kits","Jewelry kits","Base Metal"
"34708045","900","This trendy Silver Irregular Shape Metal Pendant will instantly make your jewelry projects a fashion standard. Use as a focal on any piece to express your style or to create a custom gift.","1pc Silver Irregular Shape Metal Pendant","Charms and Accents","Silver","Silver","Base Metal","Pendants","Irregular Shape",,"Silver","","","1pc","Charms, &, Accents, Silver, Silver, Base, Metal, Pendants, Silver, 1Pc, Irregular, Shape, Pendant, Silver","N","N",999999,"",2,3.99,188,"https://www.cousindiy.com/diyimages/34708045.jpg, https://www.cousindiy.com/diyimages/34708045-2.jpg, https://www.cousindiy.com/diyimages/34708045-3.jpg, https://www.cousindiy.com/diyimages/34708045-4.jpg, https://www.cousindiy.com/diyimages/34708045-5.jpg","Charms and Accents","Pendants","Base Metal"
"34719013","900","These Gold Clamping Fold Over Metal Ribbon Ends are essential elements in jewelry making. Use them to clasp ribbon, lace, trim, or fabric.  A must-have for jewelry makers!","180pc Gold Clamping Fold Over Metal Ribbon Ends","Findings","Gold","Gold","Base Metal","Cord Ends","Clamping Fold Over",,"Gold","","","180pc","Findings, Clamp/Fold, Over, Ribbon, End, Gold","N","N",999999,"",2,3.99,997,"https://www.cousindiy.com/diyimages/34719013.jpg, https://www.cousindiy.com/diyimages/34719013-2.jpg, https://www.cousindiy.com/diyimages/34719013-3.jpg, https://www.cousindiy.com/diyimages/34719013-4.jpg, https://www.cousindiy.com/diyimages/34719013-5.jpg","Findings","Cord Ends","Base Metal"
"34719111","900","Add spice to your design with these Gold  Metal Toggles ! Toggles are great for added embellishment and are often the easiest clasp option for necklaces and bracelets. Use them to clasp chain, wire, and thread.  A must-have for jewelry makers!","10Set Gold  Metal Toggles","Findings","Gold","Gold","Base Metal","Clips and Clasps","",,"Gold","","","10Set","10Set, Small, Round, Toggle, Gold,","N","N",999999,"",2,3.99,989,"https://www.cousindiy.com/diyimages/34719111.jpg, https://www.cousindiy.com/diyimages/34719111-2.jpg, https://www.cousindiy.com/diyimages/34719111-3.jpg, https://www.cousindiy.com/diyimages/34719111-4.jpg, https://www.cousindiy.com/diyimages/34719111-5.jpg","Findings","Clips and Clasps","Base Metal"
