"vItemNumber","vLocation","vDescription","vShortDesc","vLook","vGenColor","vGenItemType","vMetalColor","vSizeType","vMetalType","vKeywords","vOnSale","vFeaturedItem","vSorting","vAggregation","vMaterialDesc","vFeatureDesc","vDetailDesc","itemprice_1","itemprice_2","imagefilename"
"C181050214","400","Genuine gemstones, hammered texture, and oxidized metals offer the ultimate boho-chic vibe. Complement your look with The Sienna Crescent Drop Earrings and slay your #ootd.","The Sienna Crescent Drop Earrings","Boho Traveler Cali","White","Earrings","Silver",,"Surgical Steel","Crescent, stone, semiprecious,  white, howlite","N","N",533,"C181050214","Silver tone plating over brass with white howlite","Surgical steel posts | Style # C18105","Designed in the USA",7,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181050214.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181050214-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181050214-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181050214-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181050214-5.JPG"
"C181050227","400","Genuine gemstones, hammered texture, and oxidized metals offer the ultimate boho-chic vibe. Complement your look with The Sienna Crescent Drop Earrings and slay your #ootd.","The Sienna Crescent Drop Earrings","Boho Traveler Cali","Black","Earrings","Silver",,"Surgical Steel","Crescent, stone, semiprecious, black, agate","N","N",533,"C181050214","Silver tone plating over brass with black agate and glass crystal accents","Surgical steel posts | Style # C18105","Designed in the USA",7,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181050227.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181050227-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181050227-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181050227-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181050227-5.JPG"
"C181050416","400","Genuine gemstones, hammered texture, and oxidized metals offer the ultimate boho-chic vibe. Complement your look with The Sienna Crescent Drop Earrings and slay your #ootd.","The Sienna Crescent Drop Earrings","Boho Traveler Cali","Maroon","Earrings","Bronze",,"Surgical Steel","Crescent, stone, semiprecious, red, agate","N","N",533,"C181050214","Bronze tone plating over brass with red agate and glass crystal accents","Surgical steel posts | Style # C18105","Designed in the USA",7,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181050416.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181050416-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181050416-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181050416-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181050416-5.JPG"
"C181050423","400","Genuine gemstones, hammered texture, and oxidized metals offer the ultimate boho-chic vibe. Complement your look with The Sienna Crescent Drop Earrings and slay your #ootd.","The Sienna Crescent Drop Earrings","Boho Traveler Cali","Turquoise","Earrings","Bronze",,"Surgical Steel","Crescent, stone, semiprecious, synthetic, turquoise, howlite","N","N",533,"C181050214","Bronze tone plating over brass with turquoise howlite","Surgical steel posts | Style # C18105","Designed in the USA",7,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181050423.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181050423-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181050423-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181050423-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181050423-5.JPG"
"C181060204","400","You radiate a boho-chic vibe and your free-spirit nature is contagious. Wear cut off denim shorts and a slouchy tee, with a top knot so you can show off your Free Spirit Fringe Earrings.","The Free Spirit Fringe Earrings","Boho Traveler Cali","Turquoise","Earrings","Bronze/Silver",,"Brass","Crescent, stone, semiprecious, synthetic, turquoise, howlite, fringe, thread","N","N",534,"C181060227","Bronze and silver tone plating over brass with turquoise howlite and glass accents","Shiny metal earwire | Style # C18106","Designed in the USA",8,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181060204.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181060204-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181060204-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181060204-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181060204-5.JPG"
"C181060227","400","You radiate a boho-chic vibe and your free-spirit nature is contagious. Wear cut off denim shorts and a slouchy tee, with a top knot so you can show off your Free Spirit Fringe Earrings.","The Free Spirit Fringe Earrings","Boho Traveler Cali","Black","Earrings","Silver",,"Brass","Crescent, stone, semiprecious, synthetic, white, howlite, fringe, thread","N","N",534,"C181060227","Silver tone plating over brass with white howlite and glass crystal accents","Shiny metal earwire | Style # C18106","Designed in the USA",8,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181060227.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181060227-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181060227-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181060227-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181060227-5.JPG"
"C181090214","400","Always on the go and don't like to fret over how to mix and match your accessories to achieve that layered look you love? Not to worry! Your new favorite piece will be this vegan leather wrap bracelet, it's the faux way to layer!","The Sienna Crescent Wrap Bracelet","Boho Traveler Cali","White","Bracelets","Silver",,"Brass","Wrap, vegan, leather, gemstone, stone, turquoise, howlite","N","N",510,"C181090413","Silver tone plating over brass with turquoise howlite, glass crystal accents, and vegan leather band","Adjustable | Buckle closure | Style Style # C18109","Designed in the USA",8,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181090214.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181090214-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181090214-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181090214-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181090214-5.JPG"
"C181090227","400","Always on the go and don't like to fret over how to mix and match your accessories to achieve that layered look you love? Not to worry! Your new favorite piece will be this vegan leather wrap bracelet, it's the faux way to layer!","The Sienna Crescent Wrap Bracelet","Boho Traveler Cali","Black","Bracelets","Silver",,"Brass","Wrap, vegan, leather, gemstone, stone, black, agate","N","N",510,"C181090413","Silver tone plating over brass with black agate, glass crystal accents, and vegan leather band","Adjustable | Buckle closure | Style Style # C18109","Designed in the USA",8,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181090227.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181090227-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181090227-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181090227-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181090227-5.JPG"
"C181090413","400","Always on the go and don't like to fret over how to mix and match your accessories to achieve that layered look you love? Not to worry! Your new favorite piece will be this vegan leather wrap bracelet, it's the faux way to layer!","The Sienna Crescent Wrap Bracelet","Boho Traveler Cali","Tan/Beige","Bracelets","Bronze",,"Brass","Wrap, vegan, leather, gemstone, stone, white, howlite","N","N",510,"C181090413","Silver tone plating over brass with white howlite, glass crystal accents, and vegan leather band","Adjustable | Buckle closure | Style Style # C18109","Designed in the USA",8,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181090413.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181090413-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181090413-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181090413-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181090413-5.JPG"
"C181090416","400","Always on the go and don't like to fret over how to mix and match your accessories to achieve that layered look you love? Not to worry! Your new favorite piece will be this vegan leather wrap bracelet, it's the faux way to layer!","The Sienna Crescent Wrap Bracelet","Boho Traveler Cali","Brown","Bracelets","Bronze",,"Brass","Wrap, vegan, leather, gemstone, stone, red, agate","N","N",510,"C181090413","Bronze tone plating over brass with red howlite, glass crystal accents, and vegan leather band","Adjustable | Buckle closure | Style Style # C18109","Designed in the USA",8,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181090416.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181090416-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181090416-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181090416-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181090416-5.JPG"
"C181110214","400","Looking for an #ootd game changer? All you need to do is roll the sleeves of your denim jacket to show off your Luna Spear Statement Cuff -- it is everything! 
","The Luna Spear Statement Cuff","Boho Traveler Cali","White","Bracelets","Silver",,"Brass","Open, cuff, stone, semiprecious, hammered, Pavé, white, howlite","N","N",511,"C181110214","Silver tone plating over brass with white howlite and glass crystal accents","Adjustable | Style # C18111","Designed in the USA",13,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181110214.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110214-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110214-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110214-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110214-5.JPG"
"C181110227","400","Looking for an #ootd game changer? All you need to do is roll the sleeves of your denim jacket to show off your Luna Spear Statement Cuff -- it is everything! 
","The Luna Spear Statement Cuff","Boho Traveler Cali","Black","Bracelets","Silver",,"Brass","Open, cuff, stone, semiprecious, hammered, Pavé, black, agate","N","N",511,"C181110214","Silver tone plating over brass with  black agate and glass crystal accents","Adjustable | Style # C18111","Designed in the USA",13,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181110227.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110227-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110227-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110227-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110227-5.JPG"
"C181110416","400","Looking for an #ootd game changer? All you need to do is roll the sleeves of your denim jacket to show off your Luna Spear Statement Cuff -- it is everything! 
","The Luna Spear Statement Cuff","Boho Traveler Cali","Maroon","Bracelets","Bronze",,"Brass","Open, cuff, stone, semiprecious, hammered, Pavé, red, agate","N","N",511,"C181110214","Bronze tone plating over brass with red agate and glass crystal accents","Adjustable | Style # C18111","Designed in the USA",13,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181110416.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110416-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110416-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110416-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110416-5.JPG"
"C181110420","400","Looking for an #ootd game changer? All you need to do is roll the sleeves of your denim jacket to show off your Luna Spear Statement Cuff -- it is everything! 
","The Luna Spear Statement Cuff","Boho Traveler Cali","Grey","Bracelets","Bronze",,"Brass","Open, cuff, stone, semiprecious, hammered, Pavé, labradorite","N","N",511,"C181110214","Bronze tone plating over brass with labradorite and glass crystal accents","Adjustable | Style # C18111","Designed in the USA",13,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181110420.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110420-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110420-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110420-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110420-5.JPG"
"C181110423","400","Looking for an #ootd game changer? All you need to do is roll the sleeves of your denim jacket to show off your Luna Spear Statement Cuff -- it is everything! 
","The Luna Spear Statement Cuff","Boho Traveler Cali","Turquoise","Bracelets","Bronze",,"Brass","Open, cuff, stone, semiprecious, hammered, Pavé, synthetic, turquoise, howlite","N","N",511,"C181110214","Bronze tone plating over brass with turquoise howlite and glass crystal accents","Adjustable | Style # C18111","Designed in the USA",13,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181110423.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110423-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110423-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110423-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181110423-5.JPG"
"C181130214","400","Genuine gemstones and pavé glass crystals offer a natural yet glam look. Slay your #ootd with The Lunda Dainty Spear Necklace, it's a total game changer!","The Luna Dainty Spear Necklace","Boho Traveler Cali","White","Necklaces","Silver",,"Brass","Spear, dainty, necklace, semiprecious, stone, synthetic, white, howlite","N","N",520,"C181130214","Silver tone plating over brass with white howlite and glass crystal accents","Lobster claw closure | Style # C18113","16""length | 3""extender chain | Designed in the USA",7.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181130214.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130214-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130214-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130214-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130214-5.JPG"
"C181130227","400","Genuine gemstones and pavé glass crystals offer a natural yet glam look. Slay your #ootd with The Lunda Dainty Spear Necklace, it's a total game changer!","The Luna Dainty Spear Necklace","Boho Traveler Cali","Black","Necklaces","Silver",,"Brass","Spear, dainty, necklace, semiprecious, stone, black, agate","N","N",520,"C181130214","Silver tone plating over brass with black agate and glass crystal accents","Lobster claw closure | Style # C18113","16""length | 3""extender chain | Designed in the USA",7.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181130227.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130227-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130227-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130227-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130227-5.JPG"
"C181130416","400","Genuine gemstones and pavé glass crystals offer a natural yet glam look. Slay your #ootd with The Lunda Dainty Spear Necklace, it's a total game changer!","The Luna Dainty Spear Necklace","Boho Traveler Cali","Maroon","Necklaces","Bronze",,"Brass","Spear, dainty, necklace, semiprecious, stone, red, agate","N","N",520,"C181130214","Bronze tone plating over brass with red agate and glass crystal accents","Lobster claw closure | Style # C18113","16""length | 3""extender chain | Designed in the USA",7.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181130416.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130416-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130416-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130416-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130416-5.JPG"
"C181130420","400","Genuine gemstones and pavé glass crystals offer a natural yet glam look. Slay your #ootd with The Lunda Dainty Spear Necklace, it's a total game changer!","The Luna Dainty Spear Necklace","Boho Traveler Cali","Grey","Necklaces","Bronze",,"Brass","Spear, dainty, necklace, semiprecious, stone, labradorite","N","N",520,"C181130214","Bronze tone plating over brass with labradorite and glass crystal accents","Lobster claw closure | Style # C18113","16""length | 3""extender chain | Designed in the USA",7.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181130420.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130420-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130420-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130420-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130420-5.JPG"
"C181130423","400","Genuine gemstones and pavé glass crystals offer a natural yet glam look. Slay your #ootd with The Lunda Dainty Spear Necklace, it's a total game changer!","The Luna Dainty Spear Necklace","Boho Traveler Cali","Turquoise","Necklaces","Bronze",,"Brass","Spear, dainty, necklace, semiprecious, stone,  synthetic turquoise, howlite","N","N",520,"C181130214","Bronze tone plating over brass with turquoise howlite and glass crystal accents","Lobster claw closure | Style # C18113","16""length | 3""extender chain | Designed in the USA",7.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181130423.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130423-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130423-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130423-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181130423-5.JPG"
"C181140227","400","Oxidized metal and suede offers the ultimate boho-chic vibe. Complement your look with The Sienna Crescent Drop Necklace and slay your #ootd.","The Sienna Crescent Drop Necklace","Boho Traveler Cali","Black","Necklaces","Silver",,"Brass","Crescent, suede, vegan","N","N",521,"C181140227","Silver tone plating over brass with vegan leather and glass accents","Lobster claw closure | Style # C18114","25""length | 3""extender chain | Designed in the USA",6.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181140227.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181140227-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181140227-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181140227-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181140227-5.JPG"
"C181140412","400","Oxidized metal and suede offers the ultimate boho-chic vibe. Complement your look with The Sienna Crescent Drop Necklace and slay your #ootd.","The Sienna Crescent Drop Necklace","Boho Traveler Cali","Brown","Necklaces","Bronze",,"Brass","Crescent, suede, vegan","N","N",521,"C181140227","Bronze tone plating over brass with vegan leather and glass accents","Lobster claw closure | Style # C18114","25""length | 3""extender chain | Designed in the USA",6.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181140412.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181140412-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181140412-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181140412-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181140412-5.JPG"
"C181150227","400","Constantly daydreaming of your next music festival where you can make a major fashion statement? Let your jewelry pieces play that role! Metallic dipped feathers meet genuine gemstones and chain detailing for the ultimate boho-chic look.","The Daydreamer Gemstone Necklace","Boho Traveler Cali","White","Necklaces","Silver",,"Brass","Feather, stone, semiprecious, vegan, suede, white, howlite, synthetic","N","N",522,"C181150227","Silver tone plating over brass with white howlite, vegan leather, and feather accents","Lobster claw closure | Style # C18115","26""length | 3""extender chain | Designed in the USA",12,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181150227.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181150227-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181150227-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181150227-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181150227-5.JPG"
"C181150420","400","Constantly daydreaming of your next music festival where you can make a major fashion statement? Let your jewelry pieces play that role! Metallic dipped feathers meet genuine gemstones and chain detailing for the ultimate boho-chic look.","The Daydreamer Gemstone Necklace","Boho Traveler Cali","Grey","Necklaces","Bronze",,"Brass","Feather, stone, semiprecious, vegan, suede, labradorite","N","N",522,"C181150227","Bronze tone plating over brass with labradorite and feather accents","Lobster claw closure | Style # C18115","26""length | 3""extender chain | Designed in the USA",12,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181150420.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181150420-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181150420-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181150420-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181150420-5.JPG"
"C181150423","400","Constantly daydreaming of your next music festival where you can make a major fashion statement? Let your jewelry pieces play that role! Metallic dipped feathers meet genuine gemstones and chain detailing for the ultimate boho-chic look.","The Daydreamer Gemstone Necklace","Boho Traveler Cali","Turquoise","Necklaces","Bronze",,"Brass","Feather, stone, semiprecious, vegan, suede, turquoise, howlite, synthetic","N","N",522,"C181150227","Bronze tone plating over brass with turquoise howlite, vegan leather, and feather accents","Lobster claw closure | Style # C18115","26""length | 3""extender chain | Designed in the USA",12,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181150423.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181150423-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181150423-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181150423-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181150423-5.JPG"
"C181160214","400","Always on the go and don't like to fret over how to mix and match your accessories to achieve that layered look you love? Not to worry! Your new favorite piece will be The Harper Lariat Necklace, it's the faux way to layer!","The Harper Lariat Necklace","Boho Traveler Cali","White","Necklaces","Silver",,"Brass","Lariat, layered, synthetic, stone, semiprecious, tusk, white, howlite","N","N",523,"C181160214","Silver tone plating over brass with white howlite, and glass accents","Lobster claw closure | Style # C18116","16""length | 3""extender chain | 3""drop | Designed in the USA",10,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181160214.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181160214-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181160214-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181160214-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181160214-5.JPG"
"C181160416","400","Always on the go and don't like to fret over how to mix and match your accessories to achieve that layered look you love? Not to worry! Your new favorite piece will be The Harper Lariat Necklace, it's the faux way to layer!","The Harper Lariat Necklace","Boho Traveler Cali","Maroon","Necklaces","Bronze",,"Brass","Lariat, layered, synthetic, stone, semiprecious, tusk, red, agate","N","N",523,"C181160214","Bronze tone plating over brass with red agate, and glass accents","Lobster claw closure | Style # C18116","16""length | 3""extender chain | 3""drop | Designed in the USA",10,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181160416.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181160416-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181160416-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181160416-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181160416-5.JPG"
"C181160423","400","Always on the go and don't like to fret over how to mix and match your accessories to achieve that layered look you love? Not to worry! Your new favorite piece will be The Harper Lariat Necklace, it's the faux way to layer!","The Harper Lariat Necklace","Boho Traveler Cali","Turquoise","Necklaces","Bronze",,"Brass","Lariat, layered, synthetic, stone, semiprecious, tusk, turquoise, howlite","N","N",523,"C181160214","Bronze tone plating over brass with turquoise howlite, black agate, and glass accents","Lobster claw closure | Style # C18116","16""length | 3""extender chain | 3""drop | Designed in the USA",10,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181160423.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181160423-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181160423-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181160423-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181160423-5.JPG"
"C181170227","400","Constantly daydreaming of your next music festival where you can make a major fashion statement? Let your jewelry pieces play that role! Metallic dipped feathers meet genuine gemstones and metal disc detailing for the ultimate boho-chic look.","The Daydreamer Lariat Necklace","Boho Traveler Cali","Black","Necklaces","Silver",,"Brass","Lariat, layered, synthetic, stone, semiprecious, tusk, black, agate, feather","N","N",524,"C181170227","Silver tone plating over brass with black agate, feathers, and glass crystal accents","Lobster claw closure | Style # C18117","16""length shortest layer, 20""longest layer | 8""drop | 3""extender chain | Designed in the USA",8,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181170227.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181170227-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181170227-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181170227-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181170227-5.JPG"
"C181170423","400","Constantly daydreaming of your next music festival where you can make a major fashion statement? Let your jewelry pieces play that role! Metallic dipped feathers meet genuine gemstones and metal disc detailing for the ultimate boho-chic look.","The Daydreamer Lariat Necklace","Boho Traveler Cali","Orange","Necklaces","Bronze",,"Brass","Lariat, layered, synthetic, stone, semiprecious, tusk, turquoise, howlite, feather","N","N",524,"C181170227","Bronze tone plating over brass with turquoise howlite, feathers, and glass crystal accents","Lobster claw closure | Style # C18117","16""length shortest layer, 20""longest layer | 8""drop | 3""extender chain | Designed in the USA",8,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181170423.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181170423-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181170423-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181170423-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181170423-5.JPG"
"C181180214","400","Feeling Coachella-esque vibes and channeling the bold fashionista within you? Ready to rock your #ootd? Not to worry, The River Festival Necklace is everything! Wear this statement necklace with a plunging maxi dress for a boho-chic meets sexy seductive look.","The River Festival Statement Necklace","Boho Traveler Cali","White","Necklaces","Silver",,"Brass","Statement, stone, semiprecious, howlite, white, synthetic","N","N",525,"C181180214","Silver tone plating over brass with white howlite and enamel fill","Lobster claw closure | Style # C18118","16""length | 3""extender chain | Designed in the USA",16,44.99,"https://www.cosmostylejewelry.com/CosmoImg/C181180214.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181180214-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181180214-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181180214-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181180214-5.JPG"
"C181180416","400","Feeling Coachella-esque vibes and channeling the bold fashionista within you? Ready to rock your #ootd? Not to worry, The River Festival Necklace is everything! Wear this statement necklace with a plunging maxi dress for a boho-chic meets sexy seductive look.","The River Festival Statement Necklace","Boho Traveler Cali","Maroon","Necklaces","Bronze",,"Brass","Statement, stone, semiprecious, red, agate","N","N",525,"C181180214","Bronze tone plating over brass with red agate and enamel fill","Lobster claw closure | Style # C18118","16""length | 3""extender chain | Designed in the USA",16,44.99,"https://www.cosmostylejewelry.com/CosmoImg/C181180416.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181180416-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181180416-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181180416-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181180416-5.JPG"
"C181190214","400","Oxidized metals meet genuine gemstones. Layer The Wanderlust Hammered Cuff for a killer look! Can you say, game changer!","The Wanderlust Hammered Cuff","Boho Traveler Cali","White","Bracelets","Silver",,"Brass","Hammered, cuff, stone, semiprecious, white, howlite","N","N",512,"C181190214","Silver tone plating over brass with white howlite","Adjustable | Style # C18119","Designed in the USA",11.5,32.99,"https://www.cosmostylejewelry.com/CosmoImg/C181190214.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181190214-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181190214-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181190214-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181190214-5.JPG"
"C181190227","400","Oxidized metals meet genuine gemstones. Layer The Wanderlust Hammered Cuff for a killer look! Can you say, game changer!","The Wanderlust Hammered Cuff","Boho Traveler Cali","Black","Bracelets","Silver",,"Brass","Hammered, cuff, stone, semiprecious, black, agate","N","N",512,"C181190214","Silver tone plating over brass with black agate","Adjustable | Style # C18119","Designed in the USA",11.5,32.99,"https://www.cosmostylejewelry.com/CosmoImg/C181190227.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181190227-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181190227-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181190227-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181190227-5.JPG"
